keyword,occurrence,paper_ids
LLM,68,2604.00004|2604.00223|2604.00586|2604.00626|2604.00821|2604.01193|2604.01609|2604.02119|2604.02288|2604.02556|2604.02621|2604.02816|2604.03072|2604.03258|2604.03336|2604.03873|2604.03950|2604.04013|2604.04356|2604.04461|2604.04701|2604.04722|2604.05012|2604.05887|2604.06798|2604.07812|2604.07853|2604.07894|2604.07944|2604.07955|2604.08266|2604.08851|2604.09629|2604.10091|2604.10496|2604.10539|2604.10688|2604.10923|2604.11080|2604.12035|2604.12358|2604.12767|2604.12782|2604.13010|2604.13016|2604.13287|2604.13440|2604.13806|2604.14339|2604.15482|2604.15794|2604.16502|2604.16940|2604.18260|2604.18963|2604.19167|2604.19398|2604.20079|2604.20913|2604.20937|2604.21231|2604.21536|2604.21649|2604.23106|2604.23950|2604.26378|2604.26573|2604.27396
model compression,37,2604.00529|2604.01076|2604.01608|2604.02697|2604.02819|2604.03154|2604.03192|2604.03270|2604.03420|2604.03803|2604.03841|2604.05303|2604.05643|2604.06421|2604.06836|2604.07466|2604.07776|2604.07953|2604.08574|2604.08880|2604.09088|2604.10235|2604.10882|2604.11112|2604.11501|2604.11867|2604.13332|2604.14572|2604.15016|2604.15167|2604.15356|2604.15409|2604.16806|2604.20333|2604.21335|2604.22529|2604.25530
VLM,25,2604.02570|2604.02816|2604.02956|2604.03072|2604.04972|2604.05656|2604.05887|2604.07812|2604.08266|2604.09244|2604.10675|2604.11240|2604.11530|2604.12035|2604.12358|2604.12767|2604.14629|2604.15188|2604.16502|2604.17320|2604.18260|2604.19145|2604.22281|2604.23950|2604.26934
token pruning,23,2604.00757|2604.00827|2604.02816|2604.02956|2604.04972|2604.07812|2604.09244|2604.11240|2604.11530|2604.12035|2604.12358|2604.12767|2604.15188|2604.15408|2604.16854|2604.17320|2604.18260|2604.19145|2604.20937|2604.22281|2604.23717|2604.23950|2604.25570
video,22,2604.00757|2604.00827|2604.05887|2604.08532|2604.09220|2604.10103|2604.10677|2604.10950|2604.12145|2604.12219|2604.14580|2604.15188|2604.15871|2604.18260|2604.18348|2604.19145|2604.20470|2604.20937|2604.22281|2604.23632|2604.27083|2604.27128
diffusion,20,2604.02061|2604.04018|2604.05524|2604.05584|2604.06916|2604.07329|2604.09850|2604.10103|2604.10675|2604.12163|2604.12219|2604.14580|2604.15451|2604.18117|2604.18348|2604.19009|2604.20079|2604.20470|2604.22379|2604.23632
medical,17,2604.01167|2604.01766|2604.05171|2604.06390|2604.06650|2604.07329|2604.07674|2604.09076|2604.10912|2604.12574|2604.14506|2604.16878|2604.17865|2604.18476|2604.18831|2604.20213|2604.23314
self-distillation,16,2604.00004|2604.01193|2604.02288|2604.03128|2604.04170|2604.05656|2604.08532|2604.10674|2604.12002|2604.12044|2604.14054|2604.14186|2604.14339|2604.15794|2604.16830|2604.26573
edge/CPU,16,2604.02509|2604.04701|2604.04722|2604.04988|2604.06691|2604.08847|2604.08971|2604.12782|2604.13440|2604.16855|2604.21231|2604.21743|2604.26587|2604.27128|2604.27178|2604.27396
on-policy distillation,15,2604.00626|2604.02288|2604.03128|2604.03873|2604.04461|2604.07944|2604.10674|2604.10688|2604.12002|2604.13010|2604.13016|2604.14084|2604.16830|2604.26573|2604.28123
low-rank,15,2604.00821|2604.01167|2604.01609|2604.02119|2604.02570|2604.02659|2604.03110|2604.03258|2604.04701|2604.08426|2604.16940|2604.17224|2604.17695|2604.17753|2604.18117
INT4/4-bit,10,2604.00586|2604.02556|2604.04722|2604.07674|2604.12782|2604.16855|2604.18117|2604.19157|2604.19167|2604.20079
MoE,10,2604.04356|2604.06515|2604.06542|2604.06798|2604.10496|2604.12163|2604.17695|2604.18476|2604.26340|2604.28123
sparse attention,10,2604.07815|2604.08971|2604.10103|2604.12219|2604.13847|2604.15180|2604.18348|2604.20470|2604.20920|2604.26837
Hadamard/rotation,9,2604.02638|2604.04013|2604.05366|2604.07716|2604.10496|2604.11080|2604.17789|2604.19157|2604.19167
autonomous driving,8,2604.02061|2604.06732|2604.07944|2604.08266|2604.18476|2604.18831|2604.19145|2604.25688
binary/ternary,8,2604.03336|2604.03957|2604.06798|2604.16940|2604.19167|2604.20913|2604.25688|2604.27396
speech/audio,6,2604.08558|2604.12145|2604.14186|2604.14580|2604.23632|2604.23717
SNN,4,2604.01042|2604.14487|2604.25570|2604.25688
skeleton/action,3,2604.15196|2604.22839|2604.26255
unlearning/safety,3,2604.15482|2604.15780|2604.23238
FP4/MXFP4,2,2604.03950|2604.17789
layer pruning,1,2604.16502
recommendation,1,2604.21536
