keyword,occurrence,paper_ids
LLM,73,2603.01236|2603.01376|2603.01399|2603.01776|2603.01875|2603.02731|2603.03380|2603.03681|2603.04162|2603.04308|2603.04359|2603.04800|2603.05168|2603.05232|2603.05421|2603.05878|2603.06746|2603.08065|2603.08083|2603.08173|2603.08185|2603.08747|2603.09582|2603.10444|2603.10899|2603.11021|2603.11564|2603.11881|2603.13418|2603.13765|2603.13931|2603.14062|2603.14224|2603.14303|2603.16435|2603.16590|2603.16731|2603.17891|2603.18423|2603.19296|2603.20991|2603.21365|2603.21426|2603.22056|2603.22324|2603.22355|2603.22370|2603.22910|2603.22911|2603.22943|2603.23575|2603.23701|2603.23985|2603.24680|2603.25284|2603.25325|2603.25385|2603.25562|2603.27467|2603.27650|2603.27819|2603.27914|2603.28430|2603.29078|2603.29535|2603.29768|2604.00223|2604.03258|2604.03298|2604.08558|2604.09595|2604.18592|2604.19769
quantization,56,2603.01399|2603.01599|2603.01776|2603.02170|2603.02731|2603.02883|2603.03380|2603.04162|2603.04308|2603.04359|2603.04800|2603.04956|2603.05168|2603.05232|2603.05878|2603.06746|2603.07904|2603.08173|2603.08185|2603.08747|2603.09582|2603.10444|2603.11021|2603.13765|2603.13931|2603.14062|2603.14224|2603.16435|2603.16590|2603.16731|2603.17230|2603.17354|2603.17891|2603.18095|2603.18423|2603.18426|2603.18742|2603.19172|2603.19296|2603.22324|2603.22370|2603.22943|2603.23575|2603.25284|2603.25385|2603.27467|2603.27469|2603.27819|2603.27914|2603.28430|2603.28845|2603.29078|2603.29535|2603.29768|2604.03298|2604.18592
KV cache,31,2603.01426|2603.01599|2603.01776|2603.04359|2603.04956|2603.08185|2603.08747|2603.10899|2603.11504|2603.11564|2603.14224|2603.14303|2603.16435|2603.18095|2603.19296|2603.19664|2603.20616|2603.22910|2603.22911|2603.23575|2603.25284|2603.25385|2603.26556|2603.27467|2603.27469|2603.27819|2603.27914|2603.28430|2603.29078|2604.08558|2604.19769
low-bit,30,2603.01399|2603.01599|2603.02170|2603.02731|2603.03380|2603.04162|2603.04359|2603.05168|2603.05232|2603.06746|2603.08173|2603.08185|2603.08747|2603.09582|2603.10444|2603.13765|2603.13931|2603.14224|2603.17230|2603.17354|2603.17891|2603.18742|2603.22324|2603.22370|2603.25385|2603.27467|2603.27469|2603.27914|2603.28430|2603.29078
pruning,29,2603.01236|2603.01399|2603.03681|2603.05105|2603.05232|2603.05878|2603.05950|2603.06003|2603.06746|2603.08065|2603.08083|2603.11881|2603.13418|2603.18426|2603.18492|2603.20280|2603.20991|2603.21105|2603.22911|2603.23985|2603.24652|2603.24680|2603.25325|2603.27469|2603.27650|2603.27900|2603.29768|2604.09595|2604.18592
distillation,21,2603.01875|2603.05421|2603.08083|2603.08258|2603.09582|2603.11881|2603.13765|2603.21365|2603.21426|2603.22056|2603.22355|2603.24652|2603.25284|2603.25562|2603.26556|2603.26778|2603.27819|2603.29535|2603.29768|2604.00223|2604.08558
PTQ,18,2603.04162|2603.04308|2603.04359|2603.04800|2603.08173|2603.08185|2603.09582|2603.11021|2603.13931|2603.16590|2603.17891|2603.18095|2603.18423|2603.18742|2603.22324|2603.22943|2603.25284|2603.29078
sparsity,17,2603.01376|2603.01426|2603.05105|2603.05168|2603.05232|2603.05878|2603.06003|2603.06746|2603.08065|2603.10444|2603.13418|2603.14224|2603.20280|2603.20991|2603.23985|2603.25325|2604.03258
VLM/MLLM,15,2603.01236|2603.01776|2603.03380|2603.03681|2603.04800|2603.05421|2603.05950|2603.07904|2603.16590|2603.21105|2603.21426|2603.22911|2603.24680|2603.26778|2603.27900
rotation/Hadamard,15,2603.01599|2603.04162|2603.04359|2603.06746|2603.08185|2603.08258|2603.10444|2603.11021|2603.16590|2603.25284|2603.25385|2603.27467|2603.27914|2603.28430|2603.29078
edge deployment,14,2603.01599|2603.02883|2603.03380|2603.05421|2603.06746|2603.07904|2603.08185|2603.17891|2603.18423|2603.19172|2603.20280|2603.22370|2603.23575|2603.29535
MoE,13,2603.02731|2603.05168|2603.06003|2603.06746|2603.08065|2603.10444|2603.17891|2603.18492|2603.19172|2603.21365|2603.22056|2603.23701|2603.23985
calibration,13,2603.04162|2603.04308|2603.04359|2603.08173|2603.13418|2603.17354|2603.18095|2603.18492|2603.19296|2603.21365|2603.27467|2603.28845|2603.29078
reasoning,12,2603.01426|2603.03380|2603.04162|2603.05232|2603.05950|2603.11504|2603.13765|2603.17891|2603.23575|2603.25284|2603.25562|2603.26778
mixed-precision,10,2603.04308|2603.14062|2603.17354|2603.17891|2603.18426|2603.18742|2603.19172|2603.22943|2603.23575|2603.28845
long-context,9,2603.01426|2603.10899|2603.11564|2603.14224|2603.20616|2603.22910|2603.27650|2603.27819|2604.19769
diffusion,9,2603.01776|2603.02883|2603.05105|2603.08258|2603.09582|2603.14062|2603.18095|2603.18742|2603.22943
FPGA/hardware,9,2603.02731|2603.02883|2603.04308|2603.13931|2603.17230|2603.27914|2603.28845|2603.29535|2604.03298
token pruning,8,2603.01236|2603.03681|2603.05950|2603.21105|2603.22911|2603.24680|2603.27650|2603.27900
structured pruning,8,2603.05105|2603.06003|2603.08065|2603.11881|2603.13418|2603.20991|2603.23985|2603.25325
LoRA/PEFT,7,2603.01599|2603.08185|2603.08258|2603.10899|2603.22943|2603.25385|2603.29535
video,7,2603.02883|2603.03681|2603.18742|2603.22911|2603.24680|2603.27469|2603.27650
outlier,7,2603.04308|2603.04359|2603.10444|2603.16590|2603.17354|2603.27914|2603.29768
QAT,6,2603.01599|2603.08173|2603.09582|2603.13931|2603.18095|2603.25284
embedding,6,2603.01599|2603.04308|2603.05421|2603.24652|2603.27819|2603.29535
GPTQ,5,2603.04162|2603.04956|2603.11021|2603.22324|2603.25385
AWQ,3,2603.11021|2603.19296|2603.25385
weight quantization,3,2603.13765|2603.27914|2603.29078
early exit,3,2603.21365|2603.23701|2604.18592
speculative decoding,2,2603.01399|2603.19296
speech/audio,2,2603.08173|2604.08558
agent,2,2603.25562|2603.26778
GGUF/llama.cpp,1,2603.03380
